3,1250,0
1,1312,0
3,1375,0
0,1450,0
3,1500,0
2,1550,0
0,1600,0
1,1678,0
0,1750,0
2,1800,0
1,1875,0
2,1937,0
3,2000,0
3,19687,1,19750
1,19750,1,19812
2,19833,1,19895
0,19916,1,19979
1,19953,0
3,20000,1,20175
2,20050,1,20125
0,20100,1,20225
1,20150,1,20325
2,20200,1,20275
3,20250,1,20425
0,20300,1,20375
2,20350,1,20525
1,20400,1,20475
0,20450,1,20575
3,20500,1,20575
1,20550,1,20625
2,20600,1,20675
3,20650,1,20775
0,20700,1,20775
2,20750,1,20825
1,20800,1,20875
0,20850,1,20975
2,20900,1,21125
1,20950,1,21050
3,21000,1,21200
0,21083,1,21208
1,21166,1,21291
2,21250,1,21361
3,21333,1,21458
2,21416,1,21541
1,21500,1,21611
0,21583,1,21708
1,21666,1,21791
2,21750,1,21875
3,21833,1,21944
0,21916,1,22000
2,22000,0
3,22000,0
0,22062,0
1,22062,0
3,22125,0
2,22125,0
0,22187,0
1,22187,0
2,22250,0
3,22250,0
2,22375,0
3,22375,0
1,22375,0
0,22375,0
1,22625,0
0,22625,0
2,22687,0
3,22687,0
0,22750,0
1,22750,0
2,22812,0
3,22812,0
0,22875,0
1,22875,0
2,23000,0
3,23000,0
1,23000,0
0,23000,0
1,23666,1,23750
3,23833,1,23875
1,23916,1,23958
2,24000,1,24062
0,24083,1,24145
2,24166,1,24229
1,24250,1,24333
3,24333,1,24416
2,24416,1,24500
0,24500,1,24604
2,24583,1,24687
0,24666,1,24770
1,24750,1,24854
2,24833,1,24958
1,24916,1,25125
3,25000,1,25208
0,25083,1,25291
2,25166,1,25375
1,25250,1,25458
3,25333,1,25541
0,25416,1,25666
2,25500,1,25791
1,25583,1,25729
3,25666,1,25854
0,25750,1,25895
1,25833,1,25937
2,25916,1,25979
0,26000,0
3,26000,0
1,26041,0
2,26083,0
0,26138,0
1,26194,0
2,26250,0
1,26312,0
0,26375,0
3,26437,0
2,26500,0
1,26562,0
0,26625,0
3,26750,0
0,26750,0
1,26812,0
2,26875,0
3,27000,0
0,27000,0
2,27041,0
1,27083,0
3,27138,0
2,27194,0
1,27250,0
2,27312,0
3,27375,0
0,27437,0
1,27500,0
2,27562,0
3,27625,0
0,27750,0
3,27750,0
1,27875,0
0,27875,0
0,28000,0
3,28000,0
1,28041,0
2,28083,0
0,28138,0
1,28194,0
2,28250,0
1,28312,0
0,28375,0
3,28437,0
2,28500,0
1,28562,0
0,28625,0
0,28750,0
3,28750,0
1,28812,0
2,28875,0
0,29000,0
3,29000,0
2,29041,0
1,29083,0
3,29138,0
2,29194,0
1,29250,0
2,29312,0
3,29375,0
0,29437,0
1,29500,0
2,29562,0
3,29625,0
0,29687,0
1,29750,0
2,29812,0
3,29875,0
0,29937,0
1,30000,0
2,30062,0
3,30125,0
0,30187,0
1,30250,0
2,30312,0
3,30375,0
0,30437,0
1,30500,0
2,30562,0
3,30625,0
0,30687,0
1,30750,0
2,30812,0
3,30875,0
1,31000,0
0,31000,0
2,31062,0
3,31062,0
1,31125,0
0,31125,0
2,31187,0
3,31187,0
1,31250,0
0,31250,0
2,31312,0
3,31312,0
1,31375,0
0,31375,0
2,31437,0
3,31437,0
1,31500,0
0,31500,0
2,31562,0
3,31562,0
1,31625,0
0,31625,0
2,31687,0
3,31687,0
1,31750,0
0,31750,0
2,31812,0
3,31812,0
1,31875,0
0,31875,0
2,31937,0
0,32000,1,32104
3,32000,1,32062
1,32041,1,32145
2,32083,1,32229
3,32124,1,32187
0,32166,1,32312
1,32208,1,32270
3,32249,1,32312
2,32291,1,32354
1,32333,1,32395
0,32374,1,32437
3,32416,1,32479
2,32458,1,32520
0,32499,1,32541
1,32541,1,32583
2,32583,1,32624
3,32624,1,32666
1,32666,1,32708
0,32708,1,32749
3,32749,0
2,32791,0
1,32833,0
0,32875,0
2,32916,0
3,32958,0
0,33000,0
1,33015,0
0,33125,0
3,33140,0
1,33250,0
1,33375,0
3,33500,0
2,33515,0
3,33625,0
0,33640,0
2,33750,0
2,33875,0
0,34000,0
1,34015,0
0,34125,0
3,34140,0
1,34250,0
1,34375,0
3,34500,0
2,34515,0
3,34625,0
0,34640,0
2,34750,0
2,34875,0
0,35000,0
1,35015,0
0,35125,0
3,35140,0
1,35250,0
1,35375,0
3,35500,0
2,35515,0
3,35625,0
0,35640,0
2,35750,0
2,35875,0
0,36000,0
1,36015,0
0,36125,0
3,36140,0
1,36250,0
1,36375,0
3,36500,0
2,36515,0
3,36625,0
0,36640,0
2,36750,0
2,36875,0
0,37000,0
3,37000,0
1,37000,0
0,37125,0
3,37125,0
3,37250,0
2,37250,0
1,37250,0
2,37375,0
0,37375,0
1,37500,0
0,37500,0
2,37500,0
1,37625,0
3,37625,0
1,37750,0
0,37750,0
3,37750,0
0,37875,0
2,37875,0
0,38000,0
3,38000,0
1,38000,0
0,38125,0
3,38125,0
3,38250,0
2,38250,0
1,38250,0
2,38375,0
0,38375,0
1,38500,0
0,38500,0
2,38500,0
1,38625,0
3,38625,0
0,38625,0
1,38750,0
0,38750,0
3,38750,0
0,38875,0
2,38875,0
3,38875,0
3,39000,0
0,39000,0
1,39062,0
3,39125,0
2,39125,0
0,39187,0
1,39187,0
2,39250,0
3,39250,0
1,39312,0
0,39312,0
2,39375,0
3,39375,0
1,39437,0
0,39437,0
2,39500,0
3,39500,0
1,39562,0
0,39562,0
3,39625,0
2,39625,0
1,39687,0
0,39687,0
2,39750,0
3,39750,0
1,39812,0
0,39812,0
2,39875,0
3,39875,0
0,39937,0
2,40000,1,40125
1,40020,1,40104
3,40020,1,40104
0,40125,1,40208
1,40166,1,40250
2,40208,1,40333
3,40250,1,40291
1,40291,1,40375
0,40333,1,40416
3,40375,1,40458
2,40416,1,40500
1,40458,1,40583
0,40500,1,40541
2,40541,1,40625
3,40583,1,40666
0,40625,1,40708
1,40666,1,40750
2,40708,1,40833
3,40750,1,40791
1,40791,1,40875
0,40833,1,40916
3,40875,1,40958
2,40916,1,41041
1,40958,1,41000
0,41000,0
3,41000,1,41083
1,41125,0
2,41150,0
0,41250,0
3,41250,0
2,41291,0
1,41400,0
2,41450,0
3,41500,0
0,41500,0
1,41550,0
3,41600,0
2,41650,0
1,41700,0
0,41750,0
3,41750,0
2,41812,0
1,41875,0
2,41937,0
0,42000,0
3,42000,0
1,42125,0
2,42187,0
0,42250,0
3,42250,0
1,42312,0
2,42375,0
1,42437,0
3,42500,0
0,42500,0
2,42541,0
1,42583,0
2,42638,0
3,42694,0
1,42750,0
0,42750,0
3,42812,0
1,42875,0
2,42937,0
3,43000,0
0,43000,0
1,43041,0
2,43083,0
3,43125,0
0,43150,0
2,43250,0
3,43250,0
0,43291,0
1,43333,0
2,43375,0
1,43437,0
3,43500,0
0,43500,0
2,43541,0
1,43583,0
0,43625,0
2,43666,0
3,43708,0
1,43750,0
0,43750,0
2,43875,0
1,43900,0
2,44000,0
3,44000,0
1,44125,0
2,44187,0
0,44250,0
3,44250,0
1,44312,0
2,44375,0
1,44437,0
0,44500,0
3,44500,0
2,44555,0
1,44607,0
2,44678,0
0,44750,0
3,44750,0
3,44875,0
2,44875,0
0,44875,0
1,45000,0
0,45000,0
2,45062,0
3,45062,0
2,45208,0
3,45208,0
1,45270,0
0,45270,0
3,45375,0
1,45400,0
2,45500,0
0,45500,0
3,45541,0
1,45583,0
2,45625,0
0,45666,0
1,45708,0
2,45750,0
3,45750,0
0,45812,0
2,45900,0
1,45950,0
3,46000,0
0,46000,0
2,46125,0
1,46150,0
3,46250,0
0,46250,0
1,46312,0
2,46375,0
0,46437,0
2,46500,0
3,46500,0
0,46550,0
1,46600,0
2,46650,0
3,46700,0
1,46750,0
0,46750,0
3,46800,0
2,46850,0
0,46900,0
3,46950,0
0,47125,1,47250
1,47125,1,47250
2,47125,1,47250
3,47125,1,47250
3,47375,1,47437
2,47375,1,47437
1,47375,1,47437
0,47375,1,47437
1,47500,0
3,47500,0
0,47541,0
2,47583,0
1,47625,0
3,47666,0
2,47708,0
1,47750,0
0,47750,0
1,47875,0
2,47900,0
0,48000,0
3,48000,0
2,48041,0
1,48083,0
0,48125,0
2,48187,0
0,48250,0
3,48250,0
2,48375,0
1,48400,0
3,48500,0
0,48500,0
1,48562,0
3,48625,0
2,48666,0
1,48708,0
3,48750,0
0,48750,0
2,48812,0
0,48875,0
1,48916,0
2,48958,0
0,49000,0
3,49000,0
2,49125,0
1,49150,0
0,49250,0
3,49250,0
1,49291,0
2,49400,0
1,49450,0
0,49500,0
3,49500,0
2,49550,0
0,49600,0
1,49650,0
2,49700,0
3,49750,0
0,49750,0
1,49812,0
2,49875,0
1,49937,0
3,50000,0
0,50000,0
2,50125,0
1,50187,0
0,50250,0
3,50250,0
2,50312,0
1,50375,0
2,50437,0
3,50500,0
0,50500,0
1,50541,0
2,50583,0
1,50638,0
0,50694,0
3,50750,0
2,50750,0
0,50812,0
2,50875,0
1,50937,0
0,51000,0
3,51125,0
2,51125,0
0,51187,0
1,51187,0
3,51250,0
2,51250,0
3,51375,0
0,51375,0
1,51375,0
3,51500,0
0,51500,0
2,51541,0
1,51583,0
0,51625,0
2,51666,0
3,51708,0
2,51875,0
3,51875,0
0,51916,0
1,51958,0
2,52000,0
3,52041,0
1,52125,0
0,52125,0
2,52250,0
3,52250,0
1,52333,0
2,52416,0
3,52500,0
0,52500,0
1,52550,0
2,52600,0
1,52687,0
0,52750,0
3,52750,0
2,52800,0
1,52850,0
2,52921,0
3,53000,0
1,53125,1,53250
0,53125,1,53250
2,53125,1,53250
1,53375,1,53437
2,53375,1,53437
3,53375,1,53437
0,53500,1,53625
1,53500,1,53812
3,53541,0
2,53625,1,53750
3,53750,1,53875
0,53750,1,54062
2,53791,0
1,53875,1,54000
2,54000,1,54125
3,54000,1,54312
1,54041,0
0,54125,1,54250
1,54250,1,54375
2,54250,1,54562
0,54291,0
3,54375,1,54500
1,54500,1,54687
3,54541,0
0,54562,1,54625
2,54625,1,54750
1,54750,0
0,54750,0
2,54812,0
3,54812,0
1,54937,0
0,54937,0
3,55000,1,55312
2,55000,0
1,55041,0
2,55125,1,55250
0,55250,1,55562
1,55250,1,55375
2,55291,0
3,55375,1,55500
1,55500,1,55812
2,55500,1,55625
3,55541,0
0,55625,1,55750
2,55750,1,55937
0,55791,0
3,55812,1,55875
1,55875,1,56000
0,56000,0
3,56000,1,56150
2,56050,1,56100
0,56100,1,56250
1,56150,1,56200
2,56200,1,56350
3,56250,1,56300
1,56300,1,56450
0,56350,1,56400
3,56400,1,56550
2,56450,1,56500
0,56500,1,56650
1,56550,1,56600
2,56600,1,56750
3,56650,1,56700
1,56700,1,56800
0,56750,1,56800
2,56812,1,56875
3,56812,1,56875
1,56875,1,56937
0,56875,1,56937
2,56937,1,57000
3,56937,1,57000
0,57000,1,57125
1,57000,1,57062
2,57062,0
1,57125,0
3,57187,0
0,57250,1,57375
2,57250,1,57312
3,57312,0
1,57375,0
2,57437,0
0,57500,1,57562
3,57500,1,57625
2,57562,0
1,57625,0
0,57687,0
2,57750,1,57812
3,57750,1,57875
0,57812,0
1,57875,0
2,57937,0
0,58000,1,58125
1,58000,1,58062
3,58062,0
2,58125,0
1,58187,0
3,58250,1,58375
2,58250,1,58312
0,58312,0
1,58375,0
2,58437,0
0,58500,1,58625
1,58500,1,58562
3,58562,0
2,58625,0
1,58687,0
3,58750,1,58812
0,58750,1,58875
1,58812,1,58875
2,58875,1,58937
1,58937,1,59000
0,58937,1,59000
3,59000,1,59125
2,59000,1,59062
1,59062,0
2,59125,0
0,59187,0
3,59250,1,59375
1,59250,1,59312
0,59312,0
2,59375,0
1,59437,0
3,59500,1,59562
0,59500,1,59625
1,59562,0
2,59625,0
3,59687,0
1,59750,1,59812
0,59750,1,59875
3,59812,0
2,59875,0
1,59937,0
3,60000,1,60125
2,60000,1,60062
0,60062,0
1,60125,0
2,60187,0
0,60250,1,60375
1,60250,1,60312
3,60312,0
2,60375,0
1,60437,0
3,60500,1,60625
2,60500,1,60562
0,60562,0
1,60625,0
2,60687,0
0,60750,1,60812
3,60750,1,60875
2,60812,1,60875
1,60875,1,60937
2,60937,1,61000
3,60937,1,61000
0,61000,1,61062
1,61000,1,61125
3,61062,0
0,61125,0
3,61187,0
1,61250,1,61312
2,61250,1,61375
0,61312,0
1,61375,0
0,61437,0
2,61500,1,61562
3,61500,1,61625
1,61562,0
2,61625,0
1,61687,0
0,61750,1,61875
3,61750,1,61812
2,61812,0
3,61875,0
2,61937,0
0,62000,1,62062
1,62000,1,62125
3,62062,0
2,62125,0
0,62187,0
1,62250,1,62312
2,62250,1,62375
0,62312,0
3,62375,0
1,62437,0
2,62500,1,62562
3,62500,1,62625
1,62562,0
0,62625,0
2,62687,0
0,62750,1,62875
3,62750,1,62812
1,62812,1,62875
2,62875,1,62937
1,62937,1,63000
3,63000,1,63062
2,63000,1,63125
0,63062,0
3,63125,0
0,63187,0
2,63250,1,63312
1,63250,1,63375
3,63312,0
2,63375,0
3,63437,0
1,63500,1,63562
0,63500,1,63625
2,63562,0
1,63625,0
2,63687,0
3,63750,1,63875
0,63750,1,63812
1,63812,0
0,63875,0
1,63937,0
3,64000,1,64062
2,64000,1,64125
0,64062,0
1,64125,0
3,64187,0
2,64250,1,64312
1,64250,1,64375
3,64312,0
0,64375,0
2,64437,0
1,64500,1,64562
0,64500,1,64625
2,64562,0
3,64625,0
1,64687,0
3,64750,1,64875
0,64750,1,64812
2,64812,1,64875
1,64875,1,64937
2,64937,1,65000
3,64937,1,65000
0,65000,1,65125
1,65000,1,65062
2,65062,0
1,65125,0
3,65187,0
0,65250,1,65375
2,65250,1,65312
1,65312,0
2,65375,0
0,65437,0
2,65500,1,65562
1,65500,1,65625
3,65562,0
2,65625,0
0,65687,0
1,65750,1,65875
3,65750,1,65812
2,65812,0
3,65875,0
1,65937,0
2,66000,1,66062
3,66000,1,66125
0,66062,0
2,66125,0
0,66187,0
1,66250,1,66312
2,66250,1,66375
3,66312,0
1,66375,0
3,66437,0
1,66500,0
0,66500,0
2,66562,0
3,66562,0
1,66625,0
0,66625,0
3,66750,1,66812
0,66750,1,66875
3,66875,1,66937
2,66875,1,67000
1,66937,1,67062
0,67000,1,67062
2,67125,0
3,67125,0
3,67250,1,67375
1,67250,1,67312
2,67312,0
1,67375,0
3,67437,0
1,67500,1,67562
2,67500,1,67625
0,67562,0
1,67625,0
3,67687,0
2,67750,1,67875
0,67750,1,67812
1,67812,0
0,67875,0
2,67937,0
1,68000,1,68062
0,68000,1,68125
3,68062,0
1,68125,0
3,68187,0
2,68250,1,68312
1,68250,1,68375
0,68312,0
2,68375,0
0,68437,0
3,68500,1,68562
2,68500,1,68625
1,68562,0
3,68625,0
1,68687,0
0,68750,1,68875
3,68750,1,68875
2,68812,1,68875
1,68812,1,68875
1,68937,1,69000
2,68937,1,69000
0,69000,1,69125
3,69000,1,69062
2,69062,0
1,69125,0
0,69187,0
2,69250,1,69375
3,69250,1,69312
0,69312,0
1,69375,0
2,69437,0
0,69500,1,69625
3,69500,1,69562
2,69562,0
1,69625,0
0,69687,0
1,69750,1,69875
2,69750,1,69812
3,69812,0
2,69875,0
1,69937,0
3,70000,1,70125
0,70000,1,70062
1,70062,0
2,70125,0
3,70187,0
0,70250,1,70312
1,70250,1,70375
3,70312,0
2,70375,0
1,70437,0
0,70500,1,70562
3,70500,1,70625
1,70562,0
2,70625,0
3,70687,0
1,70750,1,70812
2,70750,1,70875
0,70812,0
1,70875,0
2,70937,0
3,71000,1,71125
0,71000,1,71062
1,71062,0
2,71125,0
3,71187,0
1,71250,1,71375
0,71250,1,71312
3,71312,0
2,71375,0
1,71437,0
0,71500,1,71625
3,71500,1,71562
1,71562,0
2,71625,1,71687
3,71625,1,71687
1,71687,1,71750
0,71687,1,71750
2,71750,1,71812
3,71750,1,71875
1,71812,0
0,71875,0
2,71937,1,72000
3,71937,1,72000
1,72000,1,72062
0,72000,1,72062
2,72062,0
3,72125,0
1,72187,1,72250
2,72187,1,72250
0,72250,0
1,72312,0
3,72375,1,72437
2,72375,1,72437
1,72437,0
0,72500,0
3,72500,1,72625
2,72562,1,72687
1,72625,1,72750
0,72687,1,72812
3,72750,1,72812
2,72812,1,72875
1,72875,1,72937
0,72937,1,73000
2,73000,1,73062
3,73000,1,73062
1,73062,1,73125
0,73062,1,73125
2,73125,1,73187
3,73125,1,73187
0,73187,1,73250
1,73187,1,73250
3,73250,1,73375
2,73250,1,73312
0,73312,0
2,73375,0
1,73437,0
0,73500,1,73625
3,73500,1,73562
1,73562,0
2,73625,0
3,73687,0
0,73750,1,73875
1,73750,1,73812
3,73812,0
2,73875,0
1,73937,0
2,74000,1,74062
3,74000,1,74125
0,74062,0
1,74125,0
2,74187,0
1,74250,1,74312
0,74250,1,74375
3,74312,0
2,74375,0
1,74437,0
2,74500,1,74562
3,74500,1,74625
0,74562,0
1,74625,0
2,74687,0
3,74750,1,74875
0,74750,1,74812
2,74812,1,74875
1,74875,1,74937
3,74937,1,75000
2,74937,1,75000
1,75000,1,75062
0,75000,1,75125
2,75062,0
1,75125,0
3,75187,0
2,75250,1,75312
0,75250,1,75375
3,75312,0
1,75375,0
2,75437,0
3,75500,1,75625
0,75500,1,75562
2,75562,0
1,75625,0
0,75687,0
3,75750,1,75875
2,75750,1,75812
0,75812,0
1,75875,0
2,75937,0
1,76000,1,76062
0,76000,1,76125
3,76062,0
2,76125,0
1,76187,0
2,76250,1,76312
3,76250,1,76375
0,76312,0
1,76375,0
2,76437,0
1,76500,1,76562
0,76500,1,76625
3,76562,0
2,76625,0
1,76687,0
0,76750,1,76875
3,76750,1,76812
1,76812,1,76875
2,76875,1,76937
0,76937,1,77000
1,76937,1,77000
3,77000,1,77062
2,77000,1,77125
0,77062,0
3,77125,0
0,77187,0
2,77250,1,77312
1,77250,1,77375
3,77312,0
2,77375,0
3,77437,0
1,77500,1,77562
0,77500,1,77625
2,77562,0
1,77625,0
2,77687,0
3,77750,1,77875
0,77750,1,77812
1,77812,0
0,77875,0
1,77937,0
3,78000,1,78062
2,78000,1,78125
0,78062,0
1,78125,0
3,78187,0
2,78250,1,78312
1,78250,1,78375
3,78312,0
0,78375,0
2,78437,0
1,78500,1,78562
0,78500,1,78625
2,78562,0
3,78625,0
0,78750,1,78812
3,78750,1,78875
1,78750,1,78812
2,78812,1,79125
1,78875,1,79062
0,78937,1,79000
3,79000,1,79125
3,79250,1,79312
0,79250,1,79375
2,79250,1,79312
1,79312,1,79625
2,79375,1,79562
3,79437,1,79500
0,79500,1,79625
3,79750,1,79875
0,79750,1,79812
1,79750,1,79812
2,79812,1,79937
1,79875,1,80062
0,79937,1,80000
2,80000,1,80125
3,80000,1,80125
1,80125,0
0,80125,0
3,80250,0
0,80375,0
1,80375,0
2,80500,0
1,80500,0
3,80625,0
2,80625,0
0,80750,0
2,80875,0
3,80875,0
1,80937,0
0,80937,0
1,81000,1,81062
2,81000,1,81187
3,81000,1,81250
0,81000,1,81250
1,81125,1,81250
2,81250,0
1,81375,1,81625
0,81375,1,81625
2,81375,1,81625
3,81375,1,81500
3,81625,0
2,81750,1,81812
0,81750,1,82000
3,81750,1,82000
1,81750,1,81937
2,81875,1,82000
1,82000,0
2,82125,1,82375
1,82125,1,82375
3,82125,1,82375
0,82125,1,82250
0,82375,1,82500
3,82500,1,82687
1,82625,1,82812
2,82750,1,82937
3,82875,1,82937
2,83000,1,83062
3,83000,1,83250
0,83000,1,83250
1,83000,1,83187
2,83125,1,83250
1,83250,0
1,83375,1,83625
0,83375,1,83500
2,83375,1,83625
3,83375,1,83625
0,83625,0
1,83750,1,83812
0,83750,1,84000
3,83750,1,84000
2,83750,1,83937
1,83875,1,84000
2,84000,0
2,84125,1,84375
0,84125,1,84375
1,84125,1,84375
3,84125,1,84250
3,84375,1,84500
1,84500,1,84625
2,84625,1,84812
1,84750,1,84937
0,84875,1,84937
1,85000,1,85062
0,85000,1,85250
3,85000,1,85250
2,85000,1,85187
1,85125,1,85250
2,85250,0
2,85375,1,85625
1,85375,1,85625
0,85375,1,85625
3,85375,1,85500
3,85625,0
2,85750,1,85812
3,85750,1,86000
0,85750,1,86000
1,85750,1,85937
2,85875,1,86000
1,86000,0
0,86125,1,86187
1,86125,1,86250
2,86125,1,86375
3,86125,1,86375
0,86250,1,86312
1,86312,1,86375
0,86375,1,86458
0,86500,1,86666
2,86583,0
0,86708,1,86875
2,86791,0
3,86875,0
0,86916,1,86958
3,87000,1,87250
2,87000,1,87062
0,87000,1,87250
1,87000,1,87187
2,87125,1,87250
1,87250,0
1,87375,1,87625
0,87375,1,87500
2,87375,1,87625
3,87375,1,87625
0,87625,0
1,87750,1,87812
0,87750,1,88000
3,87750,1,88000
2,87750,1,87937
1,87875,1,88000
2,88000,0
2,88125,1,88375
1,88125,1,88375
0,88125,1,88375
3,88125,1,88250
3,88375,0
0,88500,1,88562
2,88531,0
3,88625,1,88687
1,88656,0
2,88750,1,88875
1,88812,1,88937
0,88875,1,88937
1,89000,1,89062
3,89000,1,89250
0,89000,1,89250
2,89000,1,89187
1,89125,1,89250
2,89250,0
2,89375,1,89625
1,89375,1,89625
0,89375,1,89625
3,89375,1,89500
3,89625,0
2,89750,1,89812
3,89750,1,90000
0,89750,1,90000
1,89750,1,89937
2,89875,1,90000
1,90000,0
3,90125,1,90375
2,90125,1,90375
1,90125,1,90375
0,90125,1,90250
0,90375,0
2,90500,1,90575
1,90550,1,90650
0,90600,1,90750
3,90650,1,90800
1,90700,1,90937
2,90750,1,90937
0,90812,1,90937
3,90875,1,90937
0,91000,1,91250
1,91000,1,91250
2,91000,1,91250
3,91000,1,91250
2,91375,0
3,91375,0
1,91437,0
0,91437,0
2,91500,1,91625
3,91500,1,91625
1,91500,1,91625
0,91500,1,91625
0,91687,1,91781
1,91687,1,91781
3,91687,1,91781
2,91687,1,91781
1,91875,1,91937
0,91875,1,91937
2,91875,1,91937
3,91875,1,91937
2,92000,1,92062
3,92000,0
1,92062,1,92125
0,92062,0
2,92125,1,92187
3,92125,0
1,92187,1,92250
0,92187,0
2,92250,1,92312
3,92250,0
1,92312,1,92375
0,92312,0
2,92375,1,92437
3,92375,0
1,92437,1,92500
0,92437,0
3,92500,1,92562
2,92515,0
0,92562,1,92625
1,92578,0
3,92625,1,92687
2,92640,0
0,92687,1,92750
1,92703,0
3,92750,1,92812
2,92781,0
0,92812,1,92875
1,92843,0
3,92875,1,92937
2,92906,0
0,92937,1,93000
1,92968,0
3,93000,0
0,93071,0
2,93125,0
1,93250,0
0,93375,0
3,93500,0
2,93625,0
1,93750,0
0,93875,0
0,94000,0
1,94125,0
2,94250,0
3,94375,0
0,94500,0
1,94625,0
2,94750,0
3,94875,0
3,95000,0
1,95071,0
2,95125,0
1,95250,0
0,95375,0
3,95500,0
2,95625,0
1,95750,0
0,95875,0
0,96000,0
1,96125,0
2,96250,0
3,96375,0
0,96500,0
1,96625,0
2,96750,0
3,96875,0
3,97000,0
0,97071,0
2,97125,0
1,97250,0
0,97375,0
3,97500,0
2,97625,0
1,97750,0
0,97875,0
0,98000,0
1,98125,0
2,98250,0
3,98375,0
0,98500,0
1,98625,0
2,98750,0
3,98875,0
3,99000,0
1,99071,0
2,99125,0
1,99250,0
0,99375,0
3,99500,0
2,99625,0
1,99750,0
0,99875,0
0,100000,0
1,100125,0
2,100250,0
3,100375,0
0,100500,0
1,100625,0
2,100750,0
3,100875,0
3,101000,0
0,101071,0
2,101125,0
1,101250,0
0,101375,0
3,101500,0
2,101625,0
1,101750,0
0,101875,0
0,102000,0
1,102125,0
2,102250,0
3,102375,0
0,102500,0
1,102625,0
2,102750,0
3,102875,0
3,103000,0
1,103071,0
2,103125,0
1,103250,0
0,103375,0
3,103500,0
2,103625,0
1,103750,0
0,103875,0
0,104000,0
1,104125,0
2,104250,0
3,104375,0
0,104500,0
1,104625,0
2,104750,0
3,104875,0
3,105000,0
0,105071,0
2,105125,0
1,105250,0
0,105375,0
3,105500,0
2,105625,0
1,105750,0
0,105875,0
0,106000,0
1,106125,0
2,106250,0
3,106375,0
0,106500,0
1,106625,0
2,106750,0
3,106875,0
3,107000,0
1,107071,0
2,107125,0
1,107250,0
0,107375,0
3,107500,1,107562
2,107625,1,107687
1,107750,1,107812
0,107875,1,107937
0,108000,1,108312
1,108125,1,108437
2,108250,1,108562
3,108375,1,108687
0,108500,1,108687
1,108625,1,108812
2,108750,1,108937
3,108875,1,108937
3,109000,0
0,109000,0
2,109041,0
